brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
DELL,Alienware m16 Laptop,16 Inches,Black,1000 GB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4080,,,389.99,27,10529.73,82.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,389.99,37,14429.63,476.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,3499.0,61,213439.0,338.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,1962.99,28,54963.72,360.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1563.99,36,56303.64,279.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,749.99,26,19499.74,317.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,959.99,35,33599.65,164.0
DELL,Latitude 5431 Laptop,14 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,389.99,22,8579.78,201.0
ASUS,ASUS VivoBook,15.6 Inches,Silver,512 GB,Core i5 Family,8 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader,Full Hd Anti-glare",Dedicated,,,5.0,4999.0,15,74985.0,152.0
DELL,Latitude 5440 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,899.99,22,19799.78,370.0
DELL,3593,15.6 Inches,,256 GB,Core i3 Family,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.5,499.99,54,26999.46,481.0
HP,Spectre,16 Inches,Blue,1 TB,Core i7 Family,16 GB,Windows 11 Home,"Backlit Keyboard,Pen",Integrated,,,1.0,459.99,43,19779.57,353.0
HP,3V2U0UT#ABA,14 Inches,,32 GB,Intel Celeron D,4 GB,Chrome OS,,Integrated,Intel HD Graphics 400,2.8 GHz,4.0,2400.99,58,139257.42,469.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,691.99,61,42211.39,110.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,999.0,64,63936.0,189.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1910.62,62,118458.44,188.0
DELL,Dell Latitude,15.6 Inches,Silver,512 GB,Core i7 Family,32 GB,Windows 10 Pro,Anti-glare,Integrated,,,,3007.99,47,141375.53,90.0
DELL,Dell Inspiron,15.6 Inches,Black,1 TB,Celeron N,16 GB,Windows 10 Home,,Intel UHD Graphics,Intel UHD Graphics,,3.6,1599.0,38,60762.0,161.0
DELL,Dell XPS 15 9520,15.6 Inches,Silver,4 TB,Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,639.99,54,34559.46,307.0
MAINGEAR,Vector pro,17.3 Inches,,1 TB,Core i7,32 GB,Windows 10,,Dedicated,NVIDIA GeForce RTX 3080,,3.7,899.99,52,46799.48,229.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,16,15999.84,392.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1699.0,54,91746.0,205.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,1119.99,31,34719.69,283.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,709.0,61,43249.0,356.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,803.99,13,10451.87,302.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,2149.0,41,88109.0,284.0
DELL,Dell Latitude,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel Iris,2.6 GHz,,504.0,12,6048.0,492.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,399.99,60,23999.4,343.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,899.99,16,14399.84,296.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,589.99,26,15339.74,132.0
DELL,Precision 5550 Laptop,15.6 Inches,Silver,512 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia Quadro T2000,,,5.0,699.99,53,37099.47,442.0
DELL,Dell Latitude,15.6 Inches,,500 GB,Core i5,8 GB,Windows 10 Pro,Fingerprint Reader,Integrated,Intel UHD Graphics 620,,1.0,620.0,65,40300.0,280.0
LG,16Z90Q-N.APB7U1,16 Inches,,1 TB,Core i7,16 GB,Windows 11 Pro,,Integrated,,4.7,,739.99,50,36999.5,351.0
DELL,Dell Inspiron,16 Inches,,,Core I7 11800H,32 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint Reader",,,4.6 GHz,3.7,1079.0,27,29133.0,176.0
LENOVO,,13.3 Inches,,256 GB,,8 GB,Windows 10,,Integrated,,,,2145.99,25,53649.75,337.0
DELL,Dell XPS 13 9380,13.3 Inches,Silver,,Intel Core i7,8 GB,Windows 10 Home,,Integrated,Intel UHD Graphics 620,2133 MHz,3.9,2499.99,58,144999.42,109.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,639.99,19,12159.81,175.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,999.99,33,32999.67,445.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,224.99,25,5624.75,321.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,999.99,61,60999.39,184.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,4399.64,43,189184.52,294.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,3799.0,64,243136.0,457.0
DELL,Latitude 7320 Detachable 2-in-1,13 Inches,Black,128 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,5.0,899.99,32,28799.68,427.0
MSI,Katana GF66 11UE-856,15.6 Inches,Black,,Core i7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,4.6 GHz,,999.99,29,28999.71,85.0
DELL,Latitude 7430 Laptop,14 Inches,Aluminum,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,999.99,12,11999.88,397.0
DELL,Precision 3570 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,199.99,15,2999.85,245.0
DELL,G16 7630 Laptop,16 Inches,Gray,1000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,1699.0,19,32281.0,294.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,2020.26,36,72729.36,161.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,2753.99,20,55079.8,475.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1620.99,49,79428.51,414.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,999.99,20,19999.8,395.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1026.99,47,48268.53,241.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,999.99,55,54999.45,181.0
DELL,Latitude 5320 Laptop,13.3 Inches,Black,2000 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,589.99,43,25369.57,450.0
ACER,PT515-51-75L8,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2080,,3.9,2499.0,55,137445.0,317.0
DELL,Inspiron 3515,15.6 Inches,,256 GB,Ryzen 5,12 GB,Windows 11 Pro,Anti-glare,Integrated,,,4.5,459.99,29,13339.71,437.0
DELL,Latitude 5000,13.3 Inches,,512 GB,Core i7 Family,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,854.86,55,47017.3,439.0
DELL,Precision 7770 Laptop,17.3 Inches,Silver,2000 GB,Core i7,32 GB,Windows 11 Pro,,Dedicated,Nvidia RTX A1000,,,905.27,56,50695.12,159.0
DELL,Latitude 7320 Laptop,13.3 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1328.99,24,31895.76,109.0
LENOVO,ThinkPad E590,15.6 Inches,Black,512 GB,Core i7 8550U,16 GB,Windows 10,,Integrated,Intel UHD Graphics 620,,4.5,3299.99,12,39599.88,229.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,50,19499.5,460.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,39,15209.61,280.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1319.99,37,48839.63,227.0
DELL,Latitude,15.6 Inches,Gray,1 TB,Intel Core i5-1135G7,32 GB,Windows 10 Pro,Backlit Keyboard,Integrated,,,,1599.0,24,38376.0,183.0
DELL,Dell Precision 7560 Laptop,15.6 Inches,Silver,2 TB,Intel Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForcer A3000,,,639.99,46,29439.54,148.0
DELL,Alienware X17 R1 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i7,64 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3080,,,,389.99,37,14429.63,456.0
HP,CK1065,17.3 Inches,Shadow Black,2 TB,Core i7 Family,64 GB,Windows 11 Pro,Backlit Kb,Dedicated,,,,429.99,43,18489.57,145.0
MSI,Summit E15 A11SCST-461,15.6 Inches,Ink Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Thin Bezel,Dedicated,,,,2420.17,58,140369.86,158.0
DELL,Alienware m15 R7 Laptop,15.6 Inches,Dark Side of the Moon,512 GB,Core i9,16 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3080,,,823.99,27,22247.73,494.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,392.17,44,17255.48,167.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,429.99,19,8169.81,315.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,999.99,56,55999.44,254.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1400.0,59,82600.0,371.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1599.0,23,36777.0,189.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,841.21,28,23553.88,318.0
DELL,Inspiron 3521 Laptop,15.6 Inches,"Silver, Black",128 GB,,4 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,690.0,49,33810.0,81.0
SHOXLAB,M15R5,15.6 Inches,Dark Side of the Moon with High Endurance Clear Coat and Silky Smooth Finish,1 TB,Ryzen 9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,,4.0,389.99,57,22229.43,241.0
MSI,CYBORG1512043SKU,15.6 Inches,Black,1 TB,Core i7-12650H,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,,389.99,60,23399.4,101.0
LENOVO,Yoga,15.6 Inches,Iron Grey,512 GB,Core i5-10210U,8 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint Reader",Integrated,,,1.0,589.99,24,14159.76,435.0
ASUS,ROG Zephyrus S GX531,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce RTX 2080 Max-Q,,3.8,689.99,26,17939.74,466.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1289.89,48,61914.72,277.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,31,12089.69,488.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,589.99,17,10029.83,406.0
ACER,Acer 13.3inch Chromebook,13.3 Inches,Silver,64 GB,MediaTek_MT8127,4 GB,Chrome OS,,Integrated,PowerVR GX6250,,4.5,899.99,39,35099.61,425.0
ALIENWARE,,13.3 Inches,Epic Silver,512 GB,,16 GB,Windows 10,Anti-glare,Dedicated,NVIDIA GeForce GTX 1060,3.8 GHz,3.7,1299.95,64,83196.8,319.0
DELL,Precision 5760 Laptop,17 Inches,Silver,512 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia RTX A2000,,,,999.99,36,35999.64,179.0
DELL,,14 Inches,Green,1 TB,Ryzen 7,64 GB,Windows 11 Pro,"Backlit Keyboard,Fingerprint",Integrated,Intel UHD Graphics,,,807.99,15,12119.85,410.0
DELL,Dell Latitude,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,1.0,2192.99,58,127193.42,195.0
DELL,4PH18,14 Inches,,256 GB,Intel Core i7,16 GB,Windows 10 Pro,,Integrated,Intel HD Graphics 620,1.8 GHz,,959.0,46,44114.0,199.0
DELL,Precision 5000,15.6 Inches,,1 TB,Core i9,32 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A2000,NVIDIA RTX A2000,,,1799.81,26,46795.06,228.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,12,11999.88,169.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1588.99,56,88983.44,147.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,899.0,21,18879.0,446.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,859.0,24,20616.0,141.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1599.0,34,54366.0,330.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,389.99,63,24569.37,192.0
LENOVO,82R70000US,14 Inches,,512 GB,Core i7,16 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,1.7 GHz,3.0,606.89,26,15779.14,401.0
DELL,Latitude,14 Inches,,256 GB,Core i3,8 GB,Windows 11 Pro,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,,459.99,57,26219.43,427.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1484.99,51,75734.49,92.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,589.99,56,33039.44,97.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1008.94,43,43384.42,483.0
DELL,Latitude,14 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Pro,Information Not Available,Integrated,,,,1359.99,36,48959.64,211.0
DELL,Precision 5000,15.6 Inches,Aluminum Titan Gray,256 GB,Core i5,8 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A1000,,,5.0,459.99,57,26219.43,254.0
DELL,XPS9365-7086SLV-PUS,13.3 Inches,Silver,256 GB,Core i7,16 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint Reader",Integrated,,,3.1,1182.71,18,21288.78,231.0
DELL,Latitude,14 Inches,Gray,2 TB,Intel Core i5 1145G7,32 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,750.74,41,30780.34,114.0
DELL,Latitude,14 Inches,Silver,1 TB,Core i5 Family,16 GB,Windows 11 Pro,Backlit Keyboard,Integrated,,,1.0,639.99,51,32639.49,302.0
DELL,Latitude 7430 Laptop,14 Inches,Aluminum,256 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,589.99,15,8849.85,402.0
DELL,Precision 7750 Laptop,17.3 Inches,Silver,512 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia Quadro RTX 3000,,,,899.99,34,30599.66,242.0
HP,Elitebook 840 G9,14 Inches,Natural Silver,2 TB,Core i7 Family,64 GB,Windows 11 Pro,"Fingerprint Reader, Spill resistant, High Definition Audio, Backlit Keyboard, Anti Glare Coating",Integrated,,,,1312.82,53,69579.46,196.0
DELL,XPS 9300 Laptop,13.3 Inches,Platinum Silver,1000 GB,Core i5,8 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1225.99,22,26971.78,389.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1499.0,42,62958.0,473.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,415.0,38,15770.0,458.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,289.0,63,18207.0,264.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,876.02,40,35040.8,280.0
DELL,Precision 7750 Laptop,17.3 Inches,Silver,512 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia Quadro RTX 3000,,,,1273.99,12,15287.88,273.0
HP,Elitebook 840 G9,14 Inches,Natural Silver,2 TB,Core i7 Family,64 GB,Windows 11 Pro,"Fingerprint Reader, Spill resistant, High Definition Audio, Backlit Keyboard, Anti Glare Coating",Integrated,,,,1199.99,37,44399.63,162.0
DELL,XPS 9300 Laptop,13.3 Inches,Platinum Silver,1000 GB,Core i5,8 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,899.99,63,56699.37,435.0
DELL,Latitude 5520,15.6 Inches,,2 TB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,3 GHz,,737.99,63,46493.37,203.0
DELL,Lititude 7390 P29S 2 IN 1,13.3 Inches,Black,256 GB,Intel Core i7 Extreme,16 GB,Windows 10 Pro,Anti-glare,Integrated,,,,2333.99,19,44345.81,80.0
DELL,RYHN2,14 Inches,,512 GB,Intel Core i7,16 GB,Windows 10 Pro,Backlit Keyboard,Integrated,NVIDIA GeForce MX250,,,2860.99,27,77246.73,394.0
DELL,Inspiron 15 5000,15.6 Inches,Silver matte,1 TB,Core i5,8 GB,Windows 10,,Integrated,HD Integrated Graphics,,3.8,689.33,59,40670.47,283.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,600.49,13,7806.37,151.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,999.99,18,17999.82,346.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,589.99,24,14159.76,249.0
DELL,Inspiron 7420 Laptop,14 Inches,Black,512 GB,Core i7,8 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,1379.0,52,71708.0,240.0
LENOVO,Lenovo Ideapad,15.6 Inches,Red,256 GB,Core i5,8 GB,Windows 10,Anti-glare,Integrated,,,4.0,1949.0,40,77960.0,91.0
LENOVO,ThinkPad T14 Gen 2,14 Inches,Black,512 GB,,16 GB,Windows 10 Pro,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,1699.0,25,42475.0,415.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,691.99,50,34599.5,354.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1668.53,64,106785.92,495.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,2622.99,48,125903.52,455.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1929.99,15,28949.85,478.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,4762.76,56,266714.56,284.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1101.49,32,35247.68,263.0
LENOVO,ThinkPad T14 Gen 2,14 Inches,Black,512 GB,,16 GB,Windows 10 Pro,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,1599.0,40,63960.0,286.0
DELL,Precision,15.6 Inches,Gray,2 TB,Core i7 Family,64 GB,Windows 10 Pro,"Backlit Keyboard,Fingerprint Reader",Dedicated,,,5.0,389.99,19,7409.81,350.0
HP,,11.6 Inches,,256 GB,Pentium,8 GB,Windows 11 Pro,,Integrated,Intel UHD Graphics,,,899.99,41,36899.59,375.0
DELL,XPS 9320 Laptop,13.4 Inches,Silver,1000 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.0,2675.99,46,123095.54,176.0
LENOVO,ThinkPad X1 Yoga Gen 7,14 Inches,,256 GB,Core i5,16 GB,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,,679.0,23,15617.0,258.0
DELL,Latitude 5520,15.6 Inches,,4 TB,Core i7,64 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,3 GHz,,2999.0,32,95968.0,186.0
ACER,Latitude 5000,14 Inches,,256 GB,Core i5 Family,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,459.99,25,11499.75,262.0
LENOVO,Touch,14 Inches,Onyx Black,,Ryzen 5 3500U,8 GB,Windows 10 Home,,Integrated,AMD Radeon Vega 8,,3.6,389.99,13,5069.87,87.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,595.97,29,17283.13,257.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,1047.99,50,52399.5,369.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1699.0,32,54368.0,316.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,619.99,43,26659.57,250.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1406.88,13,18289.44,81.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1020.33,34,34691.22,196.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1173.01,27,31671.27,234.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1699.0,17,28883.0,209.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,30,17699.7,188.0
DELL,Latitude 5530 Laptop,15.6 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1002.26,18,18040.68,397.0
LENOVO,Lenovo Thinkpad,15.6 Inches,,,Core i7,16 GB,Windows 10 Pro,Backlit Keyboard,Integrated,NVIDIA Quadro T1200,2.3 GHz,5.0,999.99,63,62999.37,108.0
DELL,Latitude 3420 Laptop,14 Inches,Black,256 GB,Core i3,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1244.95,57,70962.15,447.0
GIGABYTE,G5 GD-51US123SH,15.6 Inches,Black,512 GB,Intel Mobile CPU,16 GB,Windows 10 Home,Anti-glare,Dedicated,,,3.6,691.53,61,42183.33,166.0
DELL,5401,14 Inches,Black,256 GB,Core i7 Family,16 GB,Windows 10 Pro,Fingerprint Reader,Integrated,,,,1139.99,26,29639.74,157.0
LENOVO,Legion 7,15.6 Inches,,512 GB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2070 Max-Q,2.6 GHz,,3111.99,63,196055.37,286.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,459.99,65,29899.35,306.0
